iteration	evaluations	runtime[s]	COSTDUR[MIN]	cost	duration	undt	reqsk	overwork	phenotypeBeforeNormalization
24	1536	0.123	132.44228096169005	10374.509435970278	286.9718660198726	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,1.0,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,
25	1600	0.127	132.17471700636057	10342.875851984003	287.45958486520533	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26	1664	0.13	132.0106840713135	10268.384213577672	293.2684193553676	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,
27	1728	0.134	131.89918607814744	10271.676065961794	291.824254185295	0	0	0.0	1.0,0.5,0.25,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.5,0.25,0.75,0.75,0.0,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28	1792	0.138	131.58229363403433	10204.98044122808	295.3248922175354	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.75,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,
29	1856	0.141	131.00740651820783	10137.152931348433	296.358772047235	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.75,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30	1920	0.144	131.00740651820783	10137.152931348433	296.358772047235	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.75,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31	1984	0.148	130.99561322613852	9869.833074045917	322.9728248567934	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.75,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.0,0.25,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32	2048	0.151	130.64230863540365	9828.434020966	323.5796842574364	0	0	0.0	1.0,1.0,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33	2112	0.155	130.12380886125845	9808.656136936932	320.37247491889116	0	0	0.0	1.0,0.5,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34	2176	0.158	129.78502934661458	9716.83841166694	326.1664522994519	0	0	0.0	1.0,0.75,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35	2240	0.161	129.78502934661458	9716.83841166694	326.1664522994519	0	0	0.0	1.0,0.75,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36	2304	0.164	129.78502934661458	9716.83841166694	326.1664522994519	0	0	0.0	1.0,0.75,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37	2368	0.167	129.45993914147792	9632.652930465983	331.33409836818066	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.25,0.25,0.0,0.25,0.75,0.25,0.5,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38	2432	0.171	129.45993914147792	9632.652930465983	331.33409836818066	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.25,0.25,0.0,0.25,0.75,0.25,0.5,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39	2496	0.174	129.259629237648	9632.500164466786	329.34627592980127	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.0,1.0,1.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40	2560	0.177	128.79379603358674	9572.295960279056	330.70836430796186	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41	2624	0.18	128.79379603358674	9572.295960279056	330.70836430796186	0	0	0.0	1.0,0.75,0.25,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.75,0.25,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
